"cluster_name","primerid","contrast","Pr(>Chisq)","ci.hi","ci.lo","coef","fdr"
"2","A1BG","ageYOUNG",0.0729287963533277,0.0656538081640486,0.00775919256646438,0.0367065003652565,0.23291462408704
"2","A4GALT","ageYOUNG",0.0381774438444946,0.0600833998271474,-0.00994352315447019,0.0250699383363386,0.174576428794919
"2","AAED1","ageYOUNG",0.133430660989866,0.0641994369689739,-0.0129596318405651,0.0256199025642044,0.316800904109038
"2","AAMDC","ageYOUNG",0.511444794308051,0.0599630213766363,-0.0138605477983222,0.023051236789157,0.670293643195208
"2","AAMP","ageYOUNG",0.0513958617181317,0.0888442904410333,0.0133761096139092,0.0511102000274712,0.200035029982501
"2","ABCA1","ageYOUNG",0.0695768628858982,0.0518633648874673,-0.024795926523284,0.0135337191820916,0.229759077037795
"2","ABCA5","ageYOUNG",0.124363529954024,0.00724262313835241,-0.0561806428711869,-0.0244690098664172,0.303595930215631
"2","ABCA6","ageYOUNG",0.075223139028196,0.133087806722428,0.034612132020606,0.0838499693715169,0.237389897853938
"2","ABCA8","ageYOUNG",0.0107359564623185,0.349197221806525,0.157319355996857,0.253258288901691,0.094249294896896
"2","ABCA9","ageYOUNG",0.220662721497132,0.0565403539090311,-0.00105811102798154,0.0277411214405248,0.412313050260599
"2","ABCE1","ageYOUNG",0.230456030226468,0.0114213159006234,-0.0421895812715975,-0.0153841326854871,0.422743093386299
"2","ABHD14A","ageYOUNG",0.595590378457099,0.044081234474955,-0.0177013960608777,0.0131899192070387,0.731145894700919
"2","ABHD14B","ageYOUNG",0.0484976385385537,0.0826361034395784,0.00896666954002598,0.0458013864898022,0.194390527131958
"2","ABI1","ageYOUNG",0.0287198361836992,-0.00314820654364918,-0.0748535687032264,-0.0390008876234378,0.152887595216412
"2","ABI2","ageYOUNG",0.164177517164299,0.0711642541546322,-0.00315931094035837,0.0340024716071369,0.351458858783713
"2","ABI3BP","ageYOUNG",0.0424771812456511,-0.0232766558440127,-0.118157614958474,-0.0707171354012435,0.185330376772427
"2","ABL1","ageYOUNG",0.324596068460682,0.0467716454935863,-0.0232712853460783,0.011750180073754,0.517710965413413
"2","ABL2","ageYOUNG",0.420909201938467,0.0345824645158512,-0.207453935947572,-0.0864357357158605,0.601098062613036
"2","AC009501.4","ageYOUNG",0.176644689180947,0.0665752629035495,0.00338440919951614,0.0349798360515328,0.365569042695532
"2","AC010642.1","ageYOUNG",0.00383766446506538,-0.0141325939308077,-0.078306547428438,-0.0462195706796229,0.0628899559466455
"2","ACAA1","ageYOUNG",0.39695903666779,0.0418005332874249,-0.0116462747484992,0.0150771292694628,0.580027602639582
"2","ACADVL","ageYOUNG",0.0649143855228821,0.0786542997602073,-0.00639263880435477,0.0361308304779263,0.220220688635931
"2","ACAP2","ageYOUNG",0.173621834885504,0.0377867601951716,-0.0258828565254785,0.00595195183484654,0.361932309484388
"2","ACAT1","ageYOUNG",0.0242790720443758,0.0646115518339716,0.00280727466187876,0.0337094132479252,0.141847192349951
"2","ACBD3","ageYOUNG",0.624066505182864,0.0312603708071344,-0.0377220230589559,-0.00323082612591073,0.752880514354107
"2","ACP1","ageYOUNG",0.180359661184652,0.0745108061608531,0.0042702996001566,0.0393905528805048,0.371013479391612
